127.0.0.1, 2017-03-30 16:31:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067284
127.0.0.1, 2017-03-30 16:31:47, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 1.944230
127.0.0.1, 2017-03-30 16:31:51, GET, /admin/default/edit/earnings_reports/controllers/default.py, HTTP/1.1, 200, 0.081455
127.0.0.1, 2017-03-30 16:31:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000673
127.0.0.1, 2017-03-30 16:31:51, GET, /admin/default/edit/earnings_reports/controllers/default.py, HTTP/1.1, 200, 0.152633
127.0.0.1, 2017-03-30 16:31:51, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.304430
127.0.0.1, 2017-03-30 16:31:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.337012
127.0.0.1, 2017-03-30 16:31:51, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.377618
127.0.0.1, 2017-03-30 16:31:51, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.348213
127.0.0.1, 2017-03-30 16:31:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.218306
127.0.0.1, 2017-03-30 16:31:57, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.051829
127.0.0.1, 2017-03-30 16:31:57, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015156
127.0.0.1, 2017-03-30 16:32:13, POST, /admin/default/create_file, HTTP/1.1, 200, 0.036493
127.0.0.1, 2017-03-30 16:32:13, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.077154
127.0.0.1, 2017-03-30 16:32:13, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.123827
127.0.0.1, 2017-03-30 16:32:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014597
127.0.0.1, 2017-03-30 16:32:17, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.054522
127.0.0.1, 2017-03-30 16:32:23, GET, /admin/default/edit/earnings_reports/models/db.py, HTTP/1.1, 200, 0.033759
127.0.0.1, 2017-03-30 16:32:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010397
127.0.0.1, 2017-03-30 16:32:24, GET, /admin/default/edit/earnings_reports/models/menu.py, HTTP/1.1, 200, 0.037145
127.0.0.1, 2017-03-30 16:32:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010112
127.0.0.1, 2017-03-30 16:32:24, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.035220
127.0.0.1, 2017-03-30 16:32:52, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.218282
127.0.0.1, 2017-03-30 16:32:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.228802
127.0.0.1, 2017-03-30 16:33:53, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 1.033961
127.0.0.1, 2017-03-30 16:33:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.037994
127.0.0.1, 2017-03-30 16:35:00, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.235786
127.0.0.1, 2017-03-30 16:35:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.241517
127.0.0.1, 2017-03-30 16:35:13, POST, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.041148
127.0.0.1, 2017-03-30 16:35:16, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.048627
127.0.0.1, 2017-03-30 16:35:54, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.209720
127.0.0.1, 2017-03-30 16:35:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.219268
127.0.0.1, 2017-03-30 16:36:53, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.209129
127.0.0.1, 2017-03-30 16:36:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.215724
127.0.0.1, 2017-03-30 16:38:01, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.257603
